year,quarter,url
2005,4,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2000-2009_English_pdf/2005/Q4_2005/UMC05Q4_report.pdf
2006,2,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2000-2009_English_pdf/2006/Q2_2006/UMC06Q2_report.pdf
2006,3,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2000-2009_English_pdf/2006/Q3_2006/UMC06Q3_report.pdf
2006,4,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2000-2009_English_pdf/2006/Q4_2006/UMC06Q4_report.pdf
2007,2,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2000-2009_English_pdf/2007/Q2_2007/UMC07Q2_report.pdf
2007,3,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2000-2009_English_pdf/2007/Q3_2007/UMC07Q3_report.pdf
2007,4,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2000-2009_English_pdf/2007/Q4_2007/UMC07Q4_report.pdf
2008,2,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2000-2009_English_pdf/2008/Q2_2008/UMC08Q2_report.pdf
2008,3,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2000-2009_English_pdf/2008/Q3_2008/UMC08Q3_report.pdf
2008,4,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2000-2009_English_pdf/2008/Q4_2008/UMC08Q4_report.pdf
2009,2,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2000-2009_English_pdf/2009/Q2_2009/UMC09Q2_report.pdf
2009,3,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2000-2009_English_pdf/2009/Q3_2009/UMC09Q3_report.pdf
2009,4,https://www.umc.com/upload/media/08_Investors/Financials/Quarterly_Results/Quarterly_2000-2009_English_pdf/2009/Q4_2009/UMC09Q4_report.pdf
