company,year,quarter,metric,sub-metric,value
UMC,2014,2,rev_tech,0.13um<x<=0.18um,13
UMC,2014,2,rev_tech,0.18um<x<=0.35um,12
UMC,2014,2,rev_tech,0.5um and above,3
UMC,2014,3,rev_geo,NORAM,45
UMC,2014,3,rev_geo,ASIAPAC,44
UMC,2014,3,rev_geo,Europe,6
UMC,2014,3,rev_geo,Japan,5
UMC,2014,3,rev_tech,28nm and below,3
UMC,2014,3,rev_tech,28nm<x<=40nm,24
UMC,2014,3,rev_tech,40nm<x<=65nm,26
UMC,2014,3,rev_tech,65nm<x<=90nm,7
UMC,2014,3,rev_tech,90nm<x<=0.13um,14
UMC,2014,3,rev_tech,0.13um<x<=0.18um,12
UMC,2014,3,rev_tech,0.18um<x<=0.35um,11
UMC,2014,3,rev_tech,0.5um and above,3
UMC,2014,4,rev_geo,NORAM,45
UMC,2014,4,rev_geo,ASIAPAC,42
UMC,2014,4,rev_geo,Europe,8
UMC,2014,4,rev_geo,Japan,5
UMC,2014,4,rev_tech,28nm and below,7
UMC,2014,4,rev_tech,28nm<x<=40nm,21
UMC,2014,4,rev_tech,40nm<x<=65nm,24
UMC,2014,4,rev_tech,65nm<x<=90nm,7
UMC,2014,4,rev_tech,90nm<x<=0.13um,14
UMC,2014,4,rev_tech,0.13um<x<=0.18um,12
UMC,2014,4,rev_tech,0.18um<x<=0.35um,12
UMC,2014,4,rev_tech,0.5um and above,3
UMC,2015,2,rev_geo,NORAM,46
UMC,2015,2,rev_geo,ASIAPAC,42
UMC,2015,2,rev_geo,Europe,6
UMC,2015,2,rev_geo,Japan,6
UMC,2015,2,rev_tech,28nm and below,11
UMC,2015,2,rev_tech,28nm<x<=40nm,22
UMC,2015,2,rev_tech,40nm<x<=65nm,21
UMC,2015,2,rev_tech,65nm<x<=90nm,6
UMC,2015,2,rev_tech,90nm<x<=0.13um,14
UMC,2015,2,rev_tech,0.13um<x<=0.18um,12
UMC,2015,2,rev_tech,0.18um<x<=0.35um,11
UMC,2015,2,rev_tech,0.5um and above,3
UMC,2015,3,rev_geo,NORAM,45
UMC,2015,3,rev_geo,ASIAPAC,41
UMC,2015,3,rev_geo,Europe,6
UMC,2015,3,rev_geo,Japan,8
UMC,2015,3,rev_tech,28nm and below,10
UMC,2015,3,rev_tech,28nm<x<=40nm,25
UMC,2015,3,rev_tech,40nm<x<=65nm,21
UMC,2015,3,rev_tech,65nm<x<=90nm,4
UMC,2015,3,rev_tech,90nm<x<=0.13um,14
UMC,2015,3,rev_tech,0.13um<x<=0.18um,11
UMC,2015,3,rev_tech,0.18um<x<=0.35um,12
UMC,2015,3,rev_tech,0.5um and above,3
UMC,2015,4,rev_geo,NORAM,47
UMC,2015,4,rev_geo,ASIAPAC,37
UMC,2015,4,rev_geo,Europe,6
UMC,2015,4,rev_geo,Japan,10
UMC,2015,4,rev_tech,28nm and below,11
UMC,2015,4,rev_tech,28nm<x<=40nm,24
UMC,2015,4,rev_tech,40nm<x<=65nm,23
UMC,2015,4,rev_tech,65nm<x<=90nm,4
UMC,2015,4,rev_tech,90nm<x<=0.13um,12
UMC,2015,4,rev_tech,0.13um<x<=0.18um,11
UMC,2015,4,rev_tech,0.18um<x<=0.35um,12
UMC,2015,4,rev_tech,0.5um and above,3
UMC,2016,2,rev_geo,NORAM,49
UMC,2016,2,rev_geo,ASIAPAC,45
UMC,2016,2,rev_geo,Europe,4
UMC,2016,2,rev_geo,Japan,2
UMC,2016,2,rev_tech,28nm and below,17
UMC,2016,2,rev_tech,28nm<x<=40nm,26
UMC,2016,2,rev_tech,40nm<x<=65nm,18
UMC,2016,2,rev_tech,65nm<x<=90nm,4
UMC,2016,2,rev_tech,90nm<x<=0.13um,11
UMC,2016,2,rev_tech,0.13um<x<=0.18um,12
UMC,2016,2,rev_tech,0.18um<x<=0.35um,9
UMC,2016,2,rev_tech,0.5um and above,3
UMC,2016,3,rev_geo,NORAM,52
UMC,2016,3,rev_geo,ASIAPAC,42
UMC,2016,3,rev_geo,Europe,4
UMC,2016,3,rev_geo,Japan,2
UMC,2016,3,rev_tech,28nm and below,21
UMC,2016,3,rev_tech,28nm<x<=40nm,27
UMC,2016,3,rev_tech,40nm<x<=65nm,15
UMC,2016,3,rev_tech,65nm<x<=90nm,4
UMC,2016,3,rev_tech,90nm<x<=0.13um,11
UMC,2016,3,rev_tech,0.13um<x<=0.18um,11
UMC,2016,3,rev_tech,0.18um<x<=0.35um,8
UMC,2016,3,rev_tech,0.5um and above,3
UMC,2016,4,rev_geo,NORAM,48
UMC,2016,4,rev_geo,ASIAPAC,45
UMC,2016,4,rev_geo,Europe,4
UMC,2016,4,rev_geo,Japan,3
UMC,2016,4,rev_tech,28nm and below,22
UMC,2016,4,rev_tech,28nm<x<=40nm,26
