year,quarter,reportedCurrency,revenue,company
2019,2,USD,767000000.0,SWKS
2019,1,USD,810400000.0,SWKS
2018,4,USD,972000000.0,SWKS
2018,3,USD,1008400000.0,SWKS
2018,2,USD,894300000.0,SWKS
2018,1,USD,913400000.0,SWKS
2017,4,USD,1051900000.0,SWKS
2017,3,USD,984600000.0,SWKS
2017,2,USD,900800000.0,SWKS
2017,1,USD,851700000.0,SWKS
2022,1,USD,7706000000.0,AVGO
2021,2,USD,6610000000.0,AVGO
2021,1,USD,6655000000.0,AVGO
2020,4,USD,6467000000.0,AVGO
2020,3,USD,5821000000.0,AVGO
2020,2,USD,5742000000.0,AVGO
2020,1,USD,5858000000.0,AVGO
2019,4,USD,5776000000.0,AVGO
2019,3,USD,5515000000.0,AVGO
2019,2,USD,5517000000.0,AVGO
2019,1,USD,5789000000.0,AVGO
2018,4,USD,5444000000.0,AVGO
2018,3,USD,5063000000.0,AVGO
2018,2,USD,5014000000.0,AVGO
2018,1,USD,5327000000.0,AVGO
2017,4,USD,4844000000.0,AVGO
2017,3,USD,4463000000.0,AVGO
2017,2,USD,4190000000.0,AVGO
2017,1,USD,4139000000.0,AVGO
2022,1,USD,7643000000.0,NVDA
2021,4,USD,7103000000.0,NVDA
2021,3,USD,6507000000.0,NVDA
2021,2,USD,5661000000.0,NVDA
2021,1,USD,5003000000.0,NVDA
2020,4,USD,4726000000.0,NVDA
2020,3,USD,3866000000.0,NVDA
2020,2,USD,3080000000.0,NVDA
2020,1,USD,3105000000.0,NVDA
2019,4,USD,3014000000.0,NVDA
2019,3,USD,2579000000.0,NVDA
2019,2,USD,2220000000.0,NVDA
2019,1,USD,2205000000.0,NVDA
2018,4,USD,3181000000.0,NVDA
2018,3,USD,3123000000.0,NVDA
2018,2,USD,3207000000.0,NVDA
2018,1,USD,2911000000.0,NVDA
2017,4,USD,2636000000.0,NVDA
2017,3,USD,2230000000.0,NVDA
2017,2,USD,1937000000.0,NVDA
2021,4,JPY,27264713034.04,SONY
2021,3,JPY,21263807325.18,SONY
2021,2,JPY,20386739889.26,SONY
2021,1,JPY,21540644753.74,SONY
2020,4,JPY,25560325110.5,SONY
2020,3,JPY,19675042141.14,SONY
2020,2,JPY,19662341893.66,SONY
2020,1,JPY,16110665212.4,SONY
2019,4,JPY,22748762267.8,SONY
2019,3,JPY,19592871870.98,SONY
2019,2,JPY,17354375091.43,SONY
2019,1,JPY,19356259118.0,SONY
2018,4,JPY,21077768491.49,SONY
2018,3,JPY,19719944265.34,SONY
2018,2,JPY,165503308.23,SONY
2018,1,JPY,17331008705.28,SONY
2017,4,JPY,23753481781.36,SONY
2017,3,JPY,18424738764.77,SONY
2017,2,JPY,147094164.67,SONY
2017,1,JPY,16260850700.16,SONY
2016,4,JPY,23661231177.82,SONY
2022,1,USD,1306902000.0,MRVL
2021,4,USD,1175822000.0,MRVL
2021,3,USD,1042067000.0,MRVL
2022,1,USD,3546000000.0,STM
2021,4,USD,3556000000.0,STM
2021,3,USD,3197000000.0,STM
2021,2,USD,2992000000.0,STM
2021,1,USD,3016000000.0,STM
2020,4,USD,3235000000.0,STM
2020,3,USD,2666000000.0,STM
2020,2,USD,2087000000.0,STM
2020,1,USD,2666000000.0,STM
2019,4,USD,2754000000.0,STM
2019,3,USD,2553000000.0,STM
2019,2,USD,2173000000.0,STM
2019,1,USD,2076000000.0,STM
2018,4,USD,2648000000.0,STM
2018,3,USD,2522000000.0,STM
2018,2,USD,2268000000.0,STM
2018,1,USD,2226000000.0,STM
2017,4,USD,2467000000.0,STM
2017,3,USD,2136000000.0,STM
2017,2,USD,1923000000.0,STM
2017,1,USD,1821000000.0,STM
2022,1,USD,2632329000.0,ADI
2021,4,USD,2069797000.0,ADI
2021,3,USD,1758853000.0,ADI
2021,2,USD,1661407000.0,ADI
2021,1,USD,1558458000.0,ADI
2020,4,USD,1477702000.0,ADI
2020,3,USD,1456136000.0,ADI
2020,2,USD,1317060000.0,ADI
2020,1,USD,1303565000.0,ADI
2019,4,USD,1392444000.0,ADI
2019,3,USD,1480143000.0,ADI
2019,2,USD,1526602000.0,ADI
2019,1,USD,1541101000.0,ADI
2018,4,USD,1596586000.0,ADI
2018,3,USD,1572679000.0,ADI
2018,2,USD,1513053000.0,ADI
2018,1,USD,1518624000.0,ADI
2017,4,USD,1541170000.0,ADI
2017,3,USD,1433902000.0,ADI
2017,2,USD,1147982000.0,ADI
2022,1,USD,17801000000.0,INTC
2021,4,USD,20324000000.0,INTC
2021,3,USD,19002000000.0,INTC
2021,2,USD,19476000000.0,INTC
2021,1,USD,19398000000.0,INTC
2020,4,USD,19663000000.0,INTC
2020,3,USD,18161000000.0,INTC
2020,2,USD,19487000000.0,INTC
2020,1,USD,19686000000.0,INTC
2019,4,USD,19998000000.0,INTC
2019,3,USD,19029000000.0,INTC
2019,2,USD,16337000000.0,INTC
2019,1,USD,15733000000.0,INTC
2018,4,USD,18495000000.0,INTC
2018,3,USD,18829000000.0,INTC
2018,2,USD,16713000000.0,INTC
2018,1,USD,16678000000.0,INTC
2017,4,USD,19007000000.0,INTC
2017,3,USD,15958000000.0,INTC
2017,2,USD,14607000000.0,INTC
2022,1,USD,4905000000.0,TXN
2021,4,USD,4832000000.0,TXN
2021,3,USD,4643000000.0,TXN
2021,2,USD,4580000000.0,TXN
2021,1,USD,4289000000.0,TXN
2020,4,USD,4076000000.0,TXN
2020,3,USD,3817000000.0,TXN
2020,2,USD,3239000000.0,TXN
2020,1,USD,3329000000.0,TXN
2019,4,USD,3350000000.0,TXN
2019,3,USD,3771000000.0,TXN
2019,2,USD,3668000000.0,TXN
2019,1,USD,3594000000.0,TXN
2018,4,USD,3717000000.0,TXN
2018,3,USD,4261000000.0,TXN
2018,2,USD,4017000000.0,TXN
2018,1,USD,3789000000.0,TXN
2017,4,USD,3750000000.0,TXN
2017,3,USD,4116000000.0,TXN
2017,2,USD,3693000000.0,TXN
2021,4,USD,3039000000.0,NXPI
2021,3,USD,2861000000.0,NXPI
2021,2,USD,2596000000.0,NXPI
2021,1,USD,2567000000.0,NXPI
2020,4,USD,2507000000.0,NXPI
2020,3,USD,2267000000.0,NXPI
2020,2,USD,1817000000.0,NXPI
2020,1,USD,2021000000.0,NXPI
2019,4,USD,2301000000.0,NXPI
2019,3,USD,2265000000.0,NXPI
2019,2,USD,2217000000.0,NXPI
2019,1,USD,2094000000.0,NXPI
2018,4,USD,2403000000.0,NXPI
2018,3,USD,2445000000.0,NXPI
2018,2,USD,2290000000.0,NXPI
2018,1,USD,2269000000.0,NXPI
2021,4,USD,1113957000.0,QRVO
2021,3,USD,1255248000.0,QRVO
2021,2,USD,1110351000.0,QRVO
2021,1,USD,1072730000.0,QRVO
2020,4,USD,1094834000.0,QRVO
2020,3,USD,1060292000.0,QRVO
2020,2,USD,787451000.0,QRVO
2020,1,USD,787772000.0,QRVO
2019,4,USD,869073000.0,QRVO
2019,3,USD,806698000.0,QRVO
2019,2,USD,775598000.0,QRVO
2019,1,USD,680882000.0,QRVO
2018,4,USD,832330000.0,QRVO
2018,3,USD,884443000.0,QRVO
2018,2,USD,692670000.0,QRVO
2018,1,USD,665383000.0,QRVO
2017,4,USD,845739000.0,QRVO
2017,3,USD,821583000.0,QRVO
2017,2,USD,640831000.0,QRVO
2017,1,USD,691464000.0,QRVO
2021,4,USD,548131000.0,CRUS
2021,3,USD,465633000.0,CRUS
2021,2,USD,276994000.0,CRUS
2021,1,USD,293537000.0,CRUS
2020,4,USD,485536000.0,CRUS
2020,3,USD,347045000.0,CRUS
2020,2,USD,242314000.0,CRUS
2020,1,USD,279291000.0,CRUS
2019,4,USD,374409000.0,CRUS
2019,3,USD,388632000.0,CRUS
2019,2,USD,237992000.0,CRUS
2019,1,USD,240441000.0,CRUS
2018,4,USD,324036000.0,CRUS
2018,3,USD,366025000.0,CRUS
2018,2,USD,253910000.0,CRUS
2018,1,USD,303173000.0,CRUS
2017,4,USD,482462000.0,CRUS
2017,3,USD,425257000.0,CRUS
2017,2,USD,320248000.0,CRUS
2017,1,USD,327864000.0,CRUS
